"PIN Code",NID,"Old Status","Updated Status",Remarks
XH5UTE02761N,59486,open,redeemed,
T2W20D89ZAT7,61160,open,redeemed,
AAF1720V64Z952,89062,open,redeemed,
SKZ47TG1399Y50,66219,redeemed,redeemed,
L8254D706DLGA,85560,open,redeemed,
X50I289AZL82,59228,open,redeemed,
AAF9430X29N734,80386,open,redeemed,
L4181A682DLGA,86997,open,redeemed,
Y5266R584DLGA,68390,open,redeemed,
AAF6079S67S442,88559,open,redeemed,
T47MB9ZJ79JU,63320,open,redeemed,
D9120F636DLGA,86786,open,redeemed,
SK791578B6NL4M,66215,open,redeemed,
AB36T823XMVP70,84572,open,redeemed,
AAF8421Z21K479,88927,open,redeemed,
AAF2413P23F901,53429,open,redeemed,
X515K04720KC,57552,open,redeemed,
AAF4722N46L678,50693,open,redeemed,
AAF9064F99N744,89020,open,redeemed,
SK5M36V9NLD168,66213,open,redeemed,
D8590Z628DLGA,87143,open,redeemed,
N7562D753DLGA,85168,open,redeemed,
XN85Z8NM1VU9,55191,open,redeemed,
T2V14EKL8807,61394,open,redeemed,
XI459346SWN4,54958,open,redeemed,
AAF1818V35Z943,51287,open,redeemed,
AAF1235H40V375,88743,redeemed,redeemed,
AAF2673J99G834,51054,open,redeemed,
AAF4495K47P100,79608,redeemed,redeemed,
R5557R271DLGA,67197,open,redeemed,
TV2ZWLF44654,60286,open,redeemed,
AAF9713U80A346,80113,open,redeemed,
TEB23G035YVF,60328,open,redeemed,
AAF7343M37L715,88631,open,redeemed,
TN3LN01BHD3E,64753,open,redeemed,
AAF8251D66V375,51614,open,redeemed,
X5Q57D4R0H5R,55363,open,redeemed,
AAF7753D38K490,51091,open,redeemed,
T7673D412DLGA,86680,open,redeemed,
G1984P828DLGA,85909,open,redeemed,
AAF3105B35C210,88919,open,redeemed,
Z2685J946DLGA,76927,open,redeemed,
AAF7414T24S439,89516,open,redeemed,
SKCMSGPS9EMRO9,66211,open,redeemed,
AAF2195P86G816,51052,open,redeemed,
TND2TH35J26U,82380,open,redeemed,
R7813D233DLGA,84871,open,redeemed,
C8167D228DLGA,85198,open,redeemed,
ABUQ249L429JRT,84468,open,redeemed,
D5146R639DLGA,87127,open,redeemed,
K9092F480DLGA,87141,open,redeemed,
T82M93GL0ZE5,64434,open,redeemed,
AAF9899G65H143,51622,open,redeemed,
C9413X199DLGA,87612,open,redeemed,
AB5DT8876N1EWO,84561,open,redeemed,
AAF9904G10T405,79714,open,redeemed,
TM80ESNT353C,63594,open,redeemed,
B8105D526DLGA,87445,open,redeemed,
SK7KE7Q918A3C4,66207,redeemed,redeemed,
AAF5412R17Z959,88644,open,redeemed,
AAF5629R79K513,53666,open,redeemed,
AAF4781N85R251,89490,redeemed,redeemed,
TRYH419C7755,64177,open,redeemed,
Z2980B950DLGA,68383,open,redeemed,
AAF4779N80N789,89318,open,redeemed,
S7481T471DLGA,87358,open,redeemed,
L9696U662DLGA,67303,open,redeemed,
P4325K105DLGA,85951,open,redeemed,
L8727Y671DLGA,86602,open,redeemed,
T090KBJZW994,63520,open,redeemed,
H6088S163DLGA,85976,open,redeemed,
L6455L672DLGA,85302,open,redeemed,
AAF2353P70Y573,80048,open,redeemed,
S7047M451DLGA,86242,open,redeemed,
SK33GH8M1205K4,66201,open,redeemed,
SKZD16I31DCRC4,66068,open,redeemed,
T2MN69MJ6VX5,60215,open,redeemed,
S3660W435DLGA,86947,open,redeemed,
Z7661D944DLGA,86412,open,redeemed,
AAF5052R21N740,54018,open,redeemed,
X01O0739FV2U,59660,open,redeemed,
AAF7872D16S442,53359,open,redeemed,
K8011D511DLGA,68177,open,redeemed,
AAF6161S96Z943,80228,open,redeemed,
AAF7840D45N734,50610,redeemed,redeemed,
TV299K3CLU62,60607,open,redeemed,
N6982M762DLGA,87221,open,redeemed,
G8076D817DLGA,87270,open,redeemed,
D3176B633DLGA,86501,open,redeemed,
ABKZ4979O4N3E2,84377,open,redeemed,
Z1161H970DLGA,86268,open,redeemed,
T35OJDG8F12G,62113,open,redeemed,
AAF4782N79Y584,89518,open,redeemed,
B9430X530DLGA,84919,redeemed,redeemed,
Y7794D592DLGA,87128,open,redeemed,
O1537V803DLGA,86934,open,redeemed,
TM3Y433AKB2E,65497,open,redeemed,
AAF3114B42R282,88854,open,redeemed,
G7507T827DLGA,77621,redeemed,redeemed,
XD4P132Z14RC,58760,open,redeemed,
SKCT98FRFBALW7,66199,open,redeemed,
T6X0R8KB7WJW,64282,open,redeemed,
SK3PXG7B2D1679,66197,open,redeemed,
AAF5013R73J291,88569,open,redeemed,
TY88748N4LJR,64189,open,redeemed,
H2352P183DLGA,84770,open,redeemed,
T23S11AK1DR5,60767,open,redeemed,
F4462K894DLGA,66710,redeemed,redeemed,
H6715L130DLGA,87827,open,redeemed,
X2377X85FMD2,59816,open,redeemed,
AAF1829V75V374,50144,open,redeemed,
T9MQ10D2UQ3K,64979,open,redeemed,
C9469X189DLGA,85635,open,redeemed,
Z1905P990DLGA,85324,open,redeemed,
F4328K910DLGA,87266,open,redeemed,
Y4136A574DLGA,78061,open,redeemed,
R2312P269DLGA,85348,open,redeemed,
C4831N198DLGA,87201,open,redeemed,
AAF2546J55V358,89240,open,redeemed,
AAF1993P71A345,88774,open,redeemed,
N4199A749DLGA,86460,open,redeemed,
SK9W94FY8P2809,66193,redeemed,redeemed,
AAF7349M46H132,89097,open,redeemed,
S4587K466DLGA,84957,open,redeemed,
XO5QVBV5Y6RO,55484,open,redeemed,
TR8PYIX645X2,60726,open,redeemed,
X6P91OT2CV66,58049,open,redeemed,
SKK2DS0BF4T41Z,48405,open,redeemed,
SKDQY14547W3EZ,48403,open,redeemed,
V2399P380DLGA,84967,open,redeemed,
G4897N829DLGA,85911,open,redeemed,
U7554D884DLGA,85345,open,redeemed,
AB7557JWDA7FAE,84324,open,redeemed,
B9544X548DLGA,86367,open,redeemed,
SKS9175M2OW5RO,66173,redeemed,redeemed,
X03Y7XD1G6R8,55352,open,redeemed,
A6345L340DLGA,85404,open,redeemed,
X177W97FX9RA,56409,open,redeemed,
XT03U3VX1J71,65294,open,redeemed,
TWPAX27F9UKW,63109,open,redeemed,
AAF1706V34F916,49891,open,redeemed,
S2681J444DLGA,86525,open,redeemed,
T55UM0ZG910U,63984,open,redeemed,
K1547V500DLGA,87197,open,redeemed,
G6945M842DLGA,87436,open,redeemed,
H4112A175DLGA,85771,open,redeemed,
AAF8696Y64R246,88850,redeemed,redeemed,
T2408P425DLGA,86856,open,redeemed,
H2200P147DLGA,85114,open,redeemed,
V7831D371DLGA,86128,open,redeemed,
AAF1051H22H134,49402,open,redeemed,
AAF2078P82C203,80205,open,redeemed,
R2047P235DLGA,85078,open,redeemed,
AAF1731V28C196,50777,open,redeemed,
TW98Z4O2G985,59947,open,redeemed,
Y5632R599DLGA,87167,open,redeemed,
Y5632R599DLGA,87167,redeemed,redeemed,
TH6B6518BY47,60531,open,redeemed,
C4821N213DLGA,86960,open,redeemed,
SK9YF9E1A1146S,66185,open,redeemed,
T6TC2723X1CN,64048,open,redeemed,
AAF3650W61Z967,89336,open,redeemed,
AAF3253B34T424,88727,open,redeemed,
H8700Y161DLGA,85158,open,redeemed,
T2457C1M52KA,61172,open,redeemed,
J2903J301DLGA,78738,open,redeemed,
XY4UT3899091,58528,open,redeemed,
AAF9020F20K499,88484,open,redeemed,
S7255M457DLGA,86721,open,redeemed,
AAF7734D62V400,80069,open,redeemed,
SK882W0W50TOQ5,66181,open,redeemed,
X5R043G30QAO,56147,open,redeemed,
AB209Q48B06SXN,84576,open,redeemed,
SK37453QA7Y3W8,66179,redeemed,redeemed,
X2HV8ZN2L89Y,58952,open,redeemed,
L2238P705DLGA,87747,open,redeemed,
XSX20O62Q103,59388,open,redeemed,
N8435Z752DLGA,77385,open,redeemed,
AAF5381R97S452,80057,open,redeemed,
V4181A381DLGA,87578,open,redeemed,
T49F2OK30101,64022,open,redeemed,
AAF8235D87Y586,53397,open,redeemed,
X37DHYSI43F1,56667,open,redeemed,
AB1K2ARFAK4UH0,84282,open,redeemed,
T07VY703HE6F,61345,open,redeemed,
N1704V727DLGA,78082,open,redeemed,
T239T64E77OS,64023,open,redeemed,
AAF8979F93F913,53925,open,redeemed,
ABHVY4JGDWFVSY,84100,open,redeemed,
D9180F618DLGA,87731,open,redeemed,
AAF7708D66H127,89316,open,redeemed,
AAF8564Z34G857,88904,open,redeemed,
AAF6727L91K507,79894,open,redeemed,
AAF1163H67P114,89451,open,redeemed,
AAF3741W30L650,88853,open,redeemed,
J1882P296DLGA,85358,open,redeemed,
C7151M187DLGA,78191,open,redeemed,
S6916M454DLGA,85827,redeemed,redeemed,
X06CTC3U1DHQ,55717,open,redeemed,
TOH6EB7PN62O,63168,open,redeemed,
B6512L544DLGA,87157,open,redeemed,
